,score_model,score_model_std,score_model_ref,score_model_ref_std,p_value,estimated_contamination,estimated_contamination_025,estimated_contamination_975,estimated_contamination_std,delta,delta_std,min_delta_095,model,no_cont,no_cont_std
0,0.5196125907990314,0.010994503277356875,0.5096899224806202,0.015561397073470516,0.405,0.5162631592993938,0.48686087308590253,0.5463359912561361,0.015030232799042715,0.003232530773245354,0.01487868997509394,-0.021616355311534875,microsoft/phi-2,0.5208131655372701,0.015543300917991002
1,0.4324455205811138,0.010902082176904658,0.42829457364341084,0.015403435506978787,0.4376,0.4304449792278965,0.4012169389401337,0.45913220512884706,0.014601665471208778,0.0020099844524909755,0.014824818247599278,-0.022208371872119673,meta-llama/Llama-2-7b-chat-hf,0.44336882865440463,0.015456678692316407
2,0.41307506053268767,0.010835419788120634,0.3953488372093023,0.015219585700087919,0.1499,0.39761584924112414,0.3690316497874696,0.42947176157062705,0.015067201545037911,0.015391027272193068,0.015507520648715866,-0.01140226328651485,meta-llama/Llama-2-7b-hf,0.42013552758954503,0.015357049837646962
3,0.4682808716707022,0.010980808636167488,0.48158914728682173,0.015553765231926867,0.8645,0.4854203686269695,0.4544481799595885,0.5145554098475862,0.015513266517078933,-0.017229618021642686,0.015405761387572181,-0.040778782738002214,meta-llama/Llama-2-13b-chat-hf,0.47725072604065827,0.01554067425115045
4,0.48523002421307504,0.010998169511249854,0.4883720930232558,0.015560110741823471,0.7056,0.49288948977526414,0.46285419776063397,0.5224825043309724,0.015176928736316783,-0.007590894133617672,0.015077566780170514,-0.03140807498927562,meta-llama/Llama-2-13b-hf,0.4927395934172314,0.01555514459044575
5,0.7753026634382567,0.009184902959461385,0.7286821705426356,0.013841029364610307,0.1582,0.7635670366015954,0.7376157078779652,0.7932095817147182,0.014670897248232442,0.011792382284603093,0.013289833160719302,-0.010685494972641731,meta-llama/Llama-3-70b-chat-hf,0.7792836398838335,0.01290371853671529
6,0.7646489104116223,0.009335317983276302,0.7306201550387597,0.013809836122507815,0.5502,0.7657236573237803,0.7367320201301688,0.7946944873836436,0.015205008757936159,-0.001184867977533356,0.013890957410162514,-0.022123768812166603,meta-llama/Meta-Llama-3-70B,0.7696030977734754,0.01310151627203045
7,0.5685230024213075,0.010899154689642239,0.5532945736434108,0.015475652558537393,0.4326,0.5659921742617624,0.5349507430939101,0.5960680425149162,0.015330945059992626,0.002451263994896205,0.015293964126006778,-0.022516402032394786,meta-llama/Llama-2-70b-chat-hf,0.5653436592449177,0.015423364123536936
8,0.5506053268765133,0.010946471141698558,0.5377906976744186,0.015519800530205439,0.4267,0.5480179296073775,0.5185760389165947,0.5783775791408684,0.015135369149869493,0.002491997753397336,0.014957063308004389,-0.02212039575405618,mistralai/Mistral-7B-Instruct-v0.2,0.5556631171345595,0.01546008248447532
9,0.49685230024213073,0.011002753166050906,0.5,0.015564320159117259,0.7216,0.5056018595166555,0.47451337173846986,0.5364163838856912,0.015772493166659848,-0.008742585908907391,0.01583737098795726,-0.03359791394049946,mistralai/Mistral-7B-Instruct-v0.1,0.5140367860600193,0.015550653224813358
