,score_model,score_model_std,score_model_ref,score_model_ref_std,p_value,estimated_contamination,estimated_contamination_025,estimated_contamination_975,estimated_contamination_std,delta,delta_std,min_delta_095,model,no_cont,no_cont_std
0,0.5844709897610921,0.014395221402344244,0.8197368421052632,0.01394388905014789,0.9763,0.6296444556274542,0.5832696134133083,0.6707703311913261,0.022258684477427976,-0.04513071842608914,0.020978329162592478,-0.07795973830683589,microsoft/phi-2,0.5697674418604651,0.037751675155828536
1,0.5102389078498294,0.014602093354942395,0.7302631578947368,0.016099153218837627,0.8283,0.5255332195334648,0.4899892320644934,0.5609815341102316,0.018221937923767934,-0.015193629089778699,0.016114283907207167,-0.04050890862949978,meta-llama/Llama-2-7b-chat-hf,0.47093023255813954,0.0380601534768255
2,0.5255972696245734,0.014586004202325078,0.7039473684210527,0.016559520672018557,0.0407,0.49669030944357345,0.46259266278307687,0.5332241894858387,0.018021400867097793,0.028905424344822427,0.015599137094901417,0.00208219425379718,meta-llama/Llama-2-7b-hf,0.5116279069767442,0.03811433165866695
3,0.5656996587030717,0.014478522249323191,0.775,0.01514730304290781,0.7299,0.5745513165355627,0.5375744806472349,0.6088017932992248,0.01798697017809587,-0.00894542916354904,0.016063277274436797,-0.03456375641800087,meta-llama/Llama-2-13b-chat-hf,0.5581395348837209,0.037866027180560945
4,0.5622866894197952,0.014491387589432865,0.7486842105263158,0.01573448121980675,0.1356,0.5460150192917734,0.5111938803828534,0.5809945123667438,0.017531331160678922,0.01622226739764634,0.014819291350440932,-0.009197857858484086,meta-llama/Llama-2-13b-hf,0.5523255813953488,0.03791529984575156
5,0.7022184300341296,0.013357377917905543,0.8736842105263158,0.012050339086915229,0.7548,0.7158261400886043,0.6569194483563117,0.7666269737279403,0.02703559137860505,-0.013713853399184654,0.02519174027535677,-0.05121566413371609,meta-llama/Llama-3-70b-chat-hf,0.6976744186046512,0.035018668130188585
6,0.6902730375426621,0.013506292655037605,0.8157894736842105,0.01406175329293544,0.0003,0.6241909100676858,0.5807828990670618,0.6666314162801067,0.021960097339678398,0.06609663259443023,0.020332441436625968,0.03212480607725168,meta-llama/Meta-Llama-3-70B,0.7209302325581395,0.034200998926473505
7,0.6186006825938567,0.014188332167661221,0.7960526315789473,0.0146158187256128,0.1468,0.5987879138667674,0.5572236720745992,0.6364896851341589,0.02031369995036204,0.019617632208317803,0.01878816520857714,-0.010145708603883162,meta-llama/Llama-2-70b-chat-hf,0.5930232558139535,0.03745902209746903
8,0.6245733788395904,0.014144593188011494,0.8210526315789474,0.01390405127236363,0.6489,0.6315163004122509,0.5837922177038365,0.6745734238954536,0.02303389837700012,-0.00701681235764335,0.02157315561905123,-0.041719141432539165,mistralai/Mistral-7B-Instruct-v0.2,0.627906976744186,0.036856084450840064
9,0.5435153583617748,0.014549738559121148,0.7723684210526316,0.01520973732485803,0.951,0.5718289064371007,0.534080947206895,0.607196398157012,0.0182742432109519,-0.028251261385906185,0.016490060842498995,-0.05398847213691795,mistralai/Mistral-7B-Instruct-v0.1,0.5174418604651163,0.03810143907917599
10,0.45051194539249145,0.014533441854067698,0.6907894736842105,0.016764599950149575,0.9492,0.4820454677495588,0.44230269109939624,0.5177482543899534,0.019246449756646324,-0.03153966570177723,0.018066413774344623,-0.059049977471380265,tiiuae/falcon-7b-instruct,0.4011627906976744,0.037372356876076714
11,0.4684300341296928,0.01457601404263579,0.6894736842105263,0.016784223599296176,0.7877,0.4806237835568497,0.44301297386809524,0.516185019028871,0.018538028699339102,-0.012306633386201237,0.016627747019391834,-0.038047172912513846,tiiuae/falcon-7b,0.47093023255813954,0.0380601534768255
12,0.447098976109215,0.014523180296723887,0.6460526315789473,0.01734588639270146,0.2613,0.4403045942182279,0.40353709414210925,0.4899439388912374,0.021322396718738236,0.006925098614536637,0.02009535246744762,-0.028841858089492287,google/gemma-1.1-2b-it,0.4011627906976744,0.037372356876076714
13,0.5802047781569966,0.014416027105593409,0.7605263157894737,0.01548029472303603,0.1048,0.5587936539034752,0.5233792803493947,0.5944420062008915,0.018157981812882428,0.02128185804191735,0.01694480847403541,-0.007425967408995121,google/gemma-1.1-7b-it,0.5755813953488372,0.03768654783417673
14,0.5691126279863481,0.014464958383446178,0.7736842105263158,0.015178627326319697,0.6247,0.5730142373325864,0.5385320417996616,0.6061522779268594,0.017058354772311986,-0.003883691257500952,0.014591717656163227,-0.026759210054515314,meta-llama/Meta-Llama-3-8B,0.5872093023255814,0.03754025262796491
15,0.6075085324232082,0.014263545608452674,0.8092105263157895,0.014252832147714976,0.6687,0.6151188737831824,0.57057017276265,0.6549722875085486,0.021501542658350015,-0.0076620478446158815,0.019907396088810488,-0.03882901776380289,meta-llama/Meta-Llama-3-8B-Instruct,0.5813953488372093,0.03761608367561805
16,0.5989761092150171,0.014316144309412804,0.8447368421052631,0.013136755872825864,0.9978,0.6683666472562392,0.6239143789607752,0.7135775987188733,0.022911378444527473,-0.06943849025965221,0.022299469932694885,-0.10597187450301367,microsoft/Phi-3-mini-4k-instruct,0.5697674418604651,0.037751675155828536
17,0.7295221843003413,0.012975415415959665,0.8657894736842106,0.012364957963930731,0.1063,0.7030778154140069,0.6615214548845484,0.7506635815314605,0.02352849639800564,0.0263777306610785,0.021268269379418985,-0.010745777592677128,mistralai/Mixtral-8x22B-Instruct-v0.1,0.7267441860465116,0.03397905254969639
